TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
26-12-1992,25,31.8,28.2,76,0,3.4,4,20,2,NW
27-12-1992,25,31.8,28.5,79,0,3.7,5,360,3,N
28-12-1992,24,31.2,27.2,79,8888,6.6,4,350,2,N
29-12-1992,24,30.4,25.7,84,26.6,3.7,4,290,2,W
30-12-1992,24,29.3,27.2,79,8888,0,3,270,1,W
31-12-1992,23,32.6,28.5,79,13.6,0,6,230,2,W
01-01-1993,23,29.6,25.6,85,5.5,7,6,330,2,W 
02-01-1993,23,29.7,26.5,79,8888,1.4,4,310,2,W 
03-01-1993,24,30.4,26.6,80,0.1,0.5,5,290,2,NW
04-01-1993,24,32.2,27.9,74,0,3,5,330,2,N 
05-01-1993,24,32.2,28,76,0,7.3,4,360,2,W 
06-01-1993,23,31,27.9,79,9.7,5.8,5,290,2,W 
07-01-1993,23,29.2,25.9,77,9.9,3.1,4,290,1,W 
08-01-1993,24,26.9,25.1,86,4.7,1.3,4,290,2,W 
09-01-1993,23,30.8,27.4,72,101,0,4,300,2,NW
10-01-1993,23,28.2,25.3,82,10,5,2,290,0,W 
11-01-1993,24,28.7,27.4,84,2.2,0,3,270,0,W 
12-01-1993,25,32.9,28,74,9.5,0,4,40,2,N 
13-01-1993,25,30.6,27.2,80,2.1,6,5,340,1,N 
14-01-1993,25,30.8,27.8,78,0,0.5,5,350,2,N 
15-01-1993,25,31.8,28.3,75,0,1.7,4,350,1,NW
16-01-1993,23,31.8,27.6,82,57.8,1.2,5,290,2,NW
17-01-1993,25,32.1,27.6,76,8888,1.8,3,10,1,NW
18-01-1993,25,31.4,26.8,84,1.6,4.2,5,260,2,W 
19-01-1993,24,31.4,27.7,77,18.6,0,5,250,2,W 
20-01-1993,24,30,27.1,74,1.2,0.3,4,360,2,NW
21-01-1993,24,29.9,26.1,81,12,0,5,300,1,W 
22-01-1993,24,29.2,26.2,76,1.2,0,5,310,2,NW
23-01-1993,23,30.4,26.1,76,0.4,0,6,280,2,W 
24-01-1993,23,29.2,25.8,77,43.9,3.3,6,250,2,W 
25-01-1993,23,30.2,26.1,79,32.9,0.4,4,320,2,W 
26-01-1993,23,28.7,25.7,85,4,4,5,250,2,W 
27-01-1993,25,29.4,27.1,79,6.1,0,6,300,2,N 
28-01-1993,24,27.2,25.8,85,26.6,2.1,5,300,2,W 
29-01-1993,24,29,27.1,79,33.5,0,7,290,2,W 
30-01-1993,24,29.6,26.6,78,28.6,4,7,280,3,W 
31-01-1993,24,28,26.1,80,21.4,0,4,310,3,W 
01-02-1993,24,28.8,26.7,75,0.6,0,6,340,2,W
02-02-1993,24,29.2,26.6,80,15.8,0.1,5,330,2,NW
03-02-1993,23,29.3,26.2,79,46.8,0.1,6,250,2,NW
04-02-1993,24,30.1,26.7,76,12.3,0,6,290,2,W
05-02-1993,24,30.6,26.9,74,25.3,4,7,300,2,NW
06-02-1993,23,28.8,24.9,82,16.1,5,5,240,1,W
07-02-1993,24,28.2,26.1,83,67.9,0,4,300,0,W
08-02-1993,22,28.8,26.2,80,4.6,0,4,290,1,W
09-02-1993,24,30.5,26.7,74,0,0,5,340,2,N
10-02-1993,23,30.4,27.6,77,0.6,3.3,5,30,2,N
11-02-1993,23,30.8,26.4,78,1.8,6,5,360,2,NW
12-02-1993,24,29.8,26.9,80,15.3,5.4,5,290,2,W
13-02-1993,23,30.4,26.5,76,4,3,5,260,2,W
14-02-1993,24,29.7,27,77,0,2.8,4,270,1,W
15-02-1993,24,31.8,27.6,75,0,2.1,4,280,2,W
16-02-1993,25,31.4,27.6,75,0,8,4,240,1,W
17-02-1993,25,30.6,27,74,24.5,4.3,4,270,2,W
18-02-1993,23,30.8,26.6,66,0.1,2.6,3,350,2,NW
19-02-1993,23,31.4,27.4,80,0,1.5,5,340,2,N
20-02-1993,25,32.8,27.4,79,1.6,7.4,4,270,3,W
21-02-1993,23,30.9,26.7,75,0,5.3,4,300,2,NW
22-02-1993,24,29.7,26.7,77,0.9,3.3,4,290,1,W
